obs_id;Level;Object;constraint_string;op_type;dictionary;data_object;template;left_op;right_op;support;nat_lang_template;individual_relevance_scores;semantic_based_relevance;fitted_obs_id;relevance_score;log_label_left;log_label_right;violation;num_violations
d47e4adf-5fd8-4463-8bfd-059302721d76_Object_purchase order_Object_subsequent invoice;Multi-object;;Responded Existence[purchase order, subsequent invoice] | | |;Binary;set();set();Responded Existence;purchase order;subsequent invoice;1;if {1} occurs in the process instance, then {2} occurs as well;{'purchase order': 0.6073577404022217, 'subsequent invoice': 0.7198562622070312};0.6636070013046265;d47e4adf-5fd8-4463-8bfd-059302721d76_Object_purchase order_Object_subsequent invoice;0.6004721076257767;['Release Purchase Order'];['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];d47e4adf-5fd8-4463-8bfd-059302721d76_Object_purchase order_Object_subsequent invoice;1
bbf7640a-c4cb-40e1-843f-9c28a8a97416_Object_change approval for purchase order_Object_release purchase order;Activity;;Alternate Response[change approval for purchase order, release purchase order] | | |;Binary;set();set();Alternate Response;change approval for purchase order;release purchase order;1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'change approval for purchase order': 0.6670167446136475, 'release purchase order': 0.6602127552032471};0.6636147499084473;bbf7640a-c4cb-40e1-843f-9c28a8a97416_Object_change approval for purchase order_Object_release purchase order;0.6008247034890312;['Change Approval for Purchase Order'];['Release Purchase Order'];bbf7640a-c4cb-40e1-843f-9c28a8a97416_Object_change approval for purchase order_Object_release purchase order;40
7d1db4b6-94a5-4ce8-91d2-c5880b54115a_Object_price_Object_invoice receipt;Multi-object;;Responded Existence[price, invoice receipt] | | |;Binary;set();set();Responded Existence;price;invoice receipt;1;if {1} occurs in the process instance, then {2} occurs as well;{'price': 0.5368061661720276, 'invoice receipt': 0.7916640639305115};0.6642351150512695;7d1db4b6-94a5-4ce8-91d2-c5880b54115a_Object_price_Object_invoice receipt;0.6010374099977555;['Change Price'];['Record Invoice Receipt', 'Cancel Invoice Receipt'];7d1db4b6-94a5-4ce8-91d2-c5880b54115a_Object_price_Object_invoice receipt;87
19201559-8d5a-4774-b2f0-c1e45d72c594_Object_goods receipt_Object_delivery indicator;Multi-object;;Alternate Precedence[goods receipt, delivery indicator] | | |;Binary;set();set();Alternate Precedence;goods receipt;delivery indicator;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'goods receipt': 0.6772770285606384, 'delivery indicator': 0.6525687575340271};0.6649228930473328;19201559-8d5a-4774-b2f0-c1e45d72c594_Object_goods receipt_Object_delivery indicator;0.6016564101942123;['Record Goods Receipt', 'Cancel Goods Receipt'];['Change Delivery Indicator'];19201559-8d5a-4774-b2f0-c1e45d72c594_Object_goods receipt_Object_delivery indicator;30
88476a28-8be5-41e6-844a-912f8aaada10_Object_receive order confirmation_Object_set payment block;Activity;;Responded Existence[receive order confirmation, set payment block] | | |;Binary;set();set();Responded Existence;receive order confirmation;set payment block;1;if {1} occurs in the process instance, then {2} occurs as well;{'receive order confirmation': 0.8088853359222412, 'set payment block': 0.5202072262763977};0.6645462810993195;88476a28-8be5-41e6-844a-912f8aaada10_Object_receive order confirmation_Object_set payment block;0.601663081560816;['Receive Order Confirmation'];['Set Payment Block'];88476a28-8be5-41e6-844a-912f8aaada10_Object_receive order confirmation_Object_set payment block;51
9c2f2534-7f53-46dd-8b23-bf6c561d4328_Object_purchase order item_Object_subsequent invoice;Multi-object;;Alternate Precedence[purchase order item, subsequent invoice] | | |;Binary;set();set();Alternate Precedence;purchase order item;subsequent invoice;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'purchase order item': 0.6102054119110107, 'subsequent invoice': 0.7198562622070312};0.665030837059021;9c2f2534-7f53-46dd-8b23-bf6c561d4328_Object_purchase order item_Object_subsequent invoice;0.6017535598047318;['Create Purchase Order Item', 'Delete Purchase Order Item', 'Reactivate Purchase Order Item'];['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];9c2f2534-7f53-46dd-8b23-bf6c561d4328_Object_purchase order item_Object_subsequent invoice;2
ba5a2f61-6fbb-4c15-b834-2cc9beb23072_Object_clear invoice_Object_change storage location;Activity;;Succession[clear invoice, change storage location] | | |;Binary;set();set();Succession;clear invoice;change storage location;5;{1} occurs if and only if it is followed by {2};{'clear invoice': 0.6436536908149719, 'change storage location': 0.654598593711853};0.6491261422634125;ba5a2f61-6fbb-4c15-b834-2cc9beb23072_Object_clear invoice_Object_change storage location;0.6020706708942142;['Clear Invoice'];['Change Storage Location'];ba5a2f61-6fbb-4c15-b834-2cc9beb23072_Object_clear invoice_Object_change storage location;9688
944489eb-3045-4a2a-a6fa-bc585a5544bd_Object_final invoice indicator_Object_invoice receipt;Multi-object;;Alternate Response[final invoice indicator, invoice receipt] | | |;Binary;set();set();Alternate Response;final invoice indicator;invoice receipt;1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'final invoice indicator': 0.6769558787345886, 'invoice receipt': 0.6541438698768616};0.6655498743057251;944489eb-3045-4a2a-a6fa-bc585a5544bd_Object_final invoice indicator_Object_invoice receipt;0.6022206933267654;['Change Final Invoice Indicator'];['Record Invoice Receipt', 'Cancel Invoice Receipt'];944489eb-3045-4a2a-a6fa-bc585a5544bd_Object_final invoice indicator_Object_invoice receipt;1
1a8c6a2f-c53e-4cb5-9565-f15446e2518f_Object_payment term_Object_quantity;Multi-object;;Responded Existence[payment term, quantity] | | |;Binary;set();set();Responded Existence;payment term;quantity;2;if {1} occurs in the process instance, then {2} occurs as well;{'payment term': 0.7836142182350159, 'quantity': 0.5423005819320679};0.6629574000835419;1a8c6a2f-c53e-4cb5-9565-f15446e2518f_Object_payment term_Object_quantity;0.6031132729784136;['Change payment term'];['Change Quantity'];1a8c6a2f-c53e-4cb5-9565-f15446e2518f_Object_payment term_Object_quantity;1
fb4e4793-ad2b-418d-9c19-5a1bd2fa8193_Object_quantity_Object_invoice receipt;Multi-object;;Alternate Precedence[quantity, invoice receipt] | | |;Binary;set();set();Alternate Precedence;quantity;invoice receipt;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'quantity': 0.5423005819320679, 'invoice receipt': 0.7916640639305115};0.6669823229312897;fb4e4793-ad2b-418d-9c19-5a1bd2fa8193_Object_quantity_Object_invoice receipt;0.6035098970897735;['Change Quantity'];['Record Invoice Receipt', 'Cancel Invoice Receipt'];fb4e4793-ad2b-418d-9c19-5a1bd2fa8193_Object_quantity_Object_invoice receipt;10454
