obs_id;Level;Object;constraint_string;op_type;dictionary;data_object;template;left_op;right_op;model_id;model_name;support;nat_lang_template;individual_relevance_scores;semantic_based_relevance;fitted_obs_id;relevance_score;log_label_left;log_label_right;violation;num_violations
3ac7ee00-edb0-480a-a0e4-5a239a13b9ac_Object_release purchase order_Object_record invoice receipt;Activity;;Alternate Precedence[release purchase order, record invoice receipt] | | |;Binary;set();set();Alternate Precedence;release purchase order;record invoice receipt;['64dd00cea7d0454395324ac3a3b67bac', 'ca741d6ba34640c795ea919a2aab9116', '146dba1966e849e097f47e65f37acf5c', 'f64d992360df4fdbb8a4d3a8ddae79b8', '935f67e0877d4c7eadd905dae0c13d27', '9378e5453a3f4504bfce3489dee158bc', '9e65551841d0455b8afe2a2d1115d65c', 'c78dbdc95844412b8b5430c90f4beb06', '0d1a0ac843294489a94ca77580fcd1d3', 'b46dadb270e746e994292dc6472413be', '6ba358a82bd8414fbd11ea0f23ecebbe', '6c2d76c1dab84d17933e511e733a4406', '6cd7d9619cc2499dae5d02080437bae5', '2183c794d952406b9ceba58a880ee98e', 'ab48330d5c4b4971bb6f862bfa00e9c4', 'b7878c1cac4f40b79085b5a6a07f9e24', '422ee734e0ce4565af3ab80c0204b826'];['Figure3.18_Jane Doe', 'Figure 3.18', 'Fig 3.18', 'Figure 3.18_Jane Doe', 'Figure 4.19_RB', 'Prepareorder', 'Neuer Prozess', 'GP 2 GL 53', 'Figure_3.18 Jane Doe-Dottin', 'Fig 4.19_Jane Doe', 'Fig 3.12 Jane Doe', 'Figure 3.18 Jane Doe', 'Fig.4.19_Jane Doe', 'Figure 3.18 - Jane Doe', 'W5-P7 (Order-to-cash)', 'Sales', 'Figure 3.18_ Jane Doe'];24;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'release purchase order': 0.5699558258056641, 'record invoice receipt': 0.5388844013214111};0.5544201135635376;3ac7ee00-edb0-480a-a0e4-5a239a13b9ac_Object_release purchase order_Object_record invoice receipt;0.5846923879214696;['Release Purchase Order'];['Record Invoice Receipt'];3ac7ee00-edb0-480a-a0e4-5a239a13b9ac_Object_release purchase order_Object_record invoice receipt;11127
3ac7ee00-edb0-480a-a0e4-5a239a13b9ac_Object_release purchase order_Object_record subsequent invoice;Activity;;Alternate Precedence[release purchase order, record subsequent invoice] | | |;Binary;set();set();Alternate Precedence;release purchase order;record subsequent invoice;['64dd00cea7d0454395324ac3a3b67bac', 'ca741d6ba34640c795ea919a2aab9116', '146dba1966e849e097f47e65f37acf5c', 'f64d992360df4fdbb8a4d3a8ddae79b8', '935f67e0877d4c7eadd905dae0c13d27', '9378e5453a3f4504bfce3489dee158bc', '9e65551841d0455b8afe2a2d1115d65c', 'c78dbdc95844412b8b5430c90f4beb06', '0d1a0ac843294489a94ca77580fcd1d3', 'b46dadb270e746e994292dc6472413be', '6ba358a82bd8414fbd11ea0f23ecebbe', '6c2d76c1dab84d17933e511e733a4406', '6cd7d9619cc2499dae5d02080437bae5', '2183c794d952406b9ceba58a880ee98e', 'ab48330d5c4b4971bb6f862bfa00e9c4', 'b7878c1cac4f40b79085b5a6a07f9e24', '422ee734e0ce4565af3ab80c0204b826'];['Figure3.18_Jane Doe', 'Figure 3.18', 'Fig 3.18', 'Figure 3.18_Jane Doe', 'Figure 4.19_RB', 'Prepareorder', 'Neuer Prozess', 'GP 2 GL 53', 'Figure_3.18 Jane Doe-Dottin', 'Fig 4.19_Jane Doe', 'Fig 3.12 Jane Doe', 'Figure 3.18 Jane Doe', 'Fig.4.19_Jane Doe', 'Figure 3.18 - Jane Doe', 'W5-P7 (Order-to-cash)', 'Sales', 'Figure 3.18_ Jane Doe'];24;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'release purchase order': 0.5699558258056641, 'record subsequent invoice': 0.5416610836982727};0.5558084547519684;3ac7ee00-edb0-480a-a0e4-5a239a13b9ac_Object_release purchase order_Object_record subsequent invoice;0.5859418949910573;['Release Purchase Order'];['Record Subsequent Invoice'];3ac7ee00-edb0-480a-a0e4-5a239a13b9ac_Object_release purchase order_Object_record subsequent invoice;4
87aac22d-439d-46bb-a2b9-2c5731434e2a_Object_create purchase order item_Object_delete purchase order item;Activity;;Alternate Precedence[create purchase order item, delete purchase order item] | | |;Binary;set();set();Alternate Precedence;create purchase order item;delete purchase order item;['6546fd9c2484401484bb00267919d201'];['811-207 Procurement K Jane Doe'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'create purchase order item': 0.5645169019699097, 'delete purchase order item': 0.544887900352478};0.5547024011611938;87aac22d-439d-46bb-a2b9-2c5731434e2a_Object_create purchase order item_Object_delete purchase order item;0.5028035896165031;['Create Purchase Order Item'];['Delete Purchase Order Item'];87aac22d-439d-46bb-a2b9-2c5731434e2a_Object_create purchase order item_Object_delete purchase order item;1
e6508c83-4025-49fa-8e2e-55242a2d78e9_Object_change final invoice indicator_Object_set payment block;Activity;;Alternate Precedence[change final invoice indicator, set payment block] | | |;Binary;set();{'6557142ae5a04ec5b5f40160d3719dd6sid-72D5CB50-8FF4-486F-B859-9DA35FF0534F'};Alternate Precedence;change final invoice indicator;set payment block;['6557142ae5a04ec5b5f40160d3719dd6'];['Activity Markers'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'change final invoice indicator': 0.5968137383460999, 'set payment block': 0.5275912880897522};0.562202513217926;e6508c83-4025-49fa-8e2e-55242a2d78e9_Object_change final invoice indicator_Object_set payment block;0.509553690467562;['Change Final Invoice Indicator'];['Set Payment Block'];e6508c83-4025-49fa-8e2e-55242a2d78e9_Object_change final invoice indicator_Object_set payment block;61
b95e6831-8234-45ab-b20c-d8472efd71ef_Object_set payment block_Object_vendor creates invoice;Activity;;Precedence[set payment block, vendor creates invoice] | | |;Binary;set();{'6557142ae5a04ec5b5f40160d3719dd6sid-72D5CB50-8FF4-486F-B859-9DA35FF0534F'};Precedence;set payment block;vendor creates invoice;['6557142ae5a04ec5b5f40160d3719dd6'];['Activity Markers'];1;{2} occurs only if it is preceded by {1};{'set payment block': 0.5275912880897522, 'vendor creates invoice': 0.6148324608802795};0.5712118744850159;b95e6831-8234-45ab-b20c-d8472efd71ef_Object_set payment block_Object_vendor creates invoice;0.5176621156079428;['Set Payment Block'];['Vendor creates invoice'];b95e6831-8234-45ab-b20c-d8472efd71ef_Object_set payment block_Object_vendor creates invoice;10722
b95e6831-8234-45ab-b20c-d8472efd71ef_Object_set payment block_Object_record invoice receipt;Activity;;Precedence[set payment block, record invoice receipt] | | |;Binary;set();{'6557142ae5a04ec5b5f40160d3719dd6sid-72D5CB50-8FF4-486F-B859-9DA35FF0534F'};Precedence;set payment block;record invoice receipt;['6557142ae5a04ec5b5f40160d3719dd6'];['Activity Markers'];1;{2} occurs only if it is preceded by {1};{'set payment block': 0.5275912880897522, 'record invoice receipt': 0.5873328447341919};0.557462066411972;b95e6831-8234-45ab-b20c-d8472efd71ef_Object_set payment block_Object_record invoice receipt;0.5052872883422034;['Set Payment Block'];['Record Invoice Receipt'];b95e6831-8234-45ab-b20c-d8472efd71ef_Object_set payment block_Object_record invoice receipt;11128
b95e6831-8234-45ab-b20c-d8472efd71ef_Object_set payment block_Object_clear invoice;Activity;;Precedence[set payment block, clear invoice] | | |;Binary;set();{'6557142ae5a04ec5b5f40160d3719dd6sid-72D5CB50-8FF4-486F-B859-9DA35FF0534F'};Precedence;set payment block;clear invoice;['6557142ae5a04ec5b5f40160d3719dd6'];['Activity Markers'];1;{2} occurs only if it is preceded by {1};{'set payment block': 0.5275912880897522, 'clear invoice': 0.6382992267608643};0.5829452574253082;b95e6831-8234-45ab-b20c-d8472efd71ef_Object_set payment block_Object_clear invoice;0.528222160254206;['Set Payment Block'];['Clear Invoice'];b95e6831-8234-45ab-b20c-d8472efd71ef_Object_set payment block_Object_clear invoice;9675
f5a8e3e3-3bed-42a5-88f4-6d9669bfc4d7_Object_srm ordered_Object_remove payment block;Activity;;Alternate Precedence[srm ordered, remove payment block] | | |;Binary;set();set();Alternate Precedence;srm ordered;remove payment block;['39c104e6796b4728b7dac7b1966294fc'];['To-Be Process Assignment '];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'srm ordered': 0.5934812426567078, 'remove payment block': 0.5210012793540955};0.5572412610054016;f5a8e3e3-3bed-42a5-88f4-6d9669bfc4d7_Object_srm ordered_Object_remove payment block;0.50508856347629;['SRM: Ordered'];['Remove Payment Block'];f5a8e3e3-3bed-42a5-88f4-6d9669bfc4d7_Object_srm ordered_Object_remove payment block;2211
f5a8e3e3-3bed-42a5-88f4-6d9669bfc4d7_Object_srm ordered_Object_set payment block;Activity;;Alternate Precedence[srm ordered, set payment block] | | |;Binary;set();set();Alternate Precedence;srm ordered;set payment block;['39c104e6796b4728b7dac7b1966294fc'];['To-Be Process Assignment '];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'srm ordered': 0.5934812426567078, 'set payment block': 0.6330088376998901};0.613245040178299;f5a8e3e3-3bed-42a5-88f4-6d9669bfc4d7_Object_srm ordered_Object_set payment block;0.5554919647318977;['SRM: Ordered'];['Set Payment Block'];f5a8e3e3-3bed-42a5-88f4-6d9669bfc4d7_Object_srm ordered_Object_set payment block;61
f5a8e3e3-3bed-42a5-88f4-6d9669bfc4d7_Object_srm ordered_Object_change payment term;Activity;;Alternate Precedence[srm ordered, change payment term] | | |;Binary;set();set();Alternate Precedence;srm ordered;change payment term;['39c104e6796b4728b7dac7b1966294fc'];['To-Be Process Assignment '];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'srm ordered': 0.5934812426567078, 'change payment term': 0.6087480783462524};0.6011146605014801;f5a8e3e3-3bed-42a5-88f4-6d9669bfc4d7_Object_srm ordered_Object_change payment term;0.5445746230227607;['SRM: Ordered'];['Change payment term'];f5a8e3e3-3bed-42a5-88f4-6d9669bfc4d7_Object_srm ordered_Object_change payment term;1
